"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","NL_NAME_3","VARNAME_3","TYPE_3","ENGTYPE_3"
27309,105,"IND","India",14,"Himachal Pradesh",172,"Kinnaur",666,"Kalpa","","","Taluk","Taluk"
27310,105,"IND","India",14,"Himachal Pradesh",172,"Kinnaur",667,"Morang","","","Taluk","Taluk"
27311,105,"IND","India",14,"Himachal Pradesh",172,"Kinnaur",668,"n.a. ( 35)","","","Taluk","Taluk"
27312,105,"IND","India",14,"Himachal Pradesh",172,"Kinnaur",669,"Nichar","","","Taluk","Taluk"
27313,105,"IND","India",14,"Himachal Pradesh",172,"Kinnaur",670,"Puh","","","Taluk","Taluk"
27314,105,"IND","India",14,"Himachal Pradesh",172,"Kinnaur",671,"Sangla","","","Taluk","Taluk"
27315,105,"IND","India",14,"Himachal Pradesh",173,"Kullu",672,"Ani","","","Taluk","Taluk"
27316,105,"IND","India",14,"Himachal Pradesh",173,"Kullu",673,"Banjar","","","Taluk","Taluk"
27317,105,"IND","India",14,"Himachal Pradesh",173,"Kullu",674,"Kullu","","","Taluk","Taluk"
27318,105,"IND","India",14,"Himachal Pradesh",173,"Kullu",675,"Nermand","","","Taluk","Taluk"
27319,105,"IND","India",14,"Himachal Pradesh",174,"Lahul and Spiti",676,"Kyelang","","Lahul","Taluk","Taluk"
27320,105,"IND","India",14,"Himachal Pradesh",174,"Lahul and Spiti",677,"Spiti","","","Taluk","Taluk"
27321,105,"IND","India",14,"Himachal Pradesh",175,"Mandi",678,"Chachyot","","","Taluk","Taluk"
27322,105,"IND","India",16,"Jharkhand",214,"Saraikela Kharsawan",748,"Saraikela","","Saraikela kharsawan","Taluk","Taluk"
27323,105,"IND","India",16,"Jharkhand",215,"Simdega",749,"Simdega","","","Taluk","Taluk"
27324,105,"IND","India",17,"Karnataka",216,"Bagalkot",750,"Badami","","","Taluk","Taluk"
27325,105,"IND","India",17,"Karnataka",216,"Bagalkot",751,"Bagalkot","","","Taluk","Taluk"
27326,105,"IND","India",17,"Karnataka",216,"Bagalkot",752,"Bilgi","","","Taluk","Taluk"
27327,105,"IND","India",17,"Karnataka",216,"Bagalkot",753,"Hungund","","","Taluk","Taluk"
27328,105,"IND","India",17,"Karnataka",216,"Bagalkot",754,"Jamkhandi","","","Taluk","Taluk"
27329,105,"IND","India",17,"Karnataka",216,"Bagalkot",755,"Mudhol","","","Taluk","Taluk"
27330,105,"IND","India",17,"Karnataka",217,"Bangalore Rural",756,"Channapatna","","","Taluk","Taluk"
27331,105,"IND","India",17,"Karnataka",217,"Bangalore Rural",757,"Devanhalli","","","Taluk","Taluk"
27332,105,"IND","India",17,"Karnataka",217,"Bangalore Rural",758,"Dod Ballapur","","","Taluk","Taluk"
27333,105,"IND","India",17,"Karnataka",217,"Bangalore Rural",759,"Hoskote","","","Taluk","Taluk"
27334,105,"IND","India",17,"Karnataka",217,"Bangalore Rural",760,"Kanakapura","","","Taluk","Taluk"
27335,105,"IND","India",17,"Karnataka",217,"Bangalore Rural",761,"Magadi","","","Taluk","Taluk"
27336,105,"IND","India",17,"Karnataka",217,"Bangalore Rural",762,"Nelamangala","","","Taluk","Taluk"
27337,105,"IND","India",17,"Karnataka",217,"Bangalore Rural",763,"Ramanagaram","","","Taluk","Taluk"
27338,105,"IND","India",17,"Karnataka",218,"Bangalore Urban",764,"Anekal","","","Taluk","Taluk"
27339,105,"IND","India",17,"Karnataka",218,"Bangalore Urban",765,"Bangalore","","Bangalore north","Taluk","Taluk"
27340,105,"IND","India",17,"Karnataka",218,"Bangalore Urban",766,"n.a. ( 2050)","","","Taluk","Taluk"
27341,105,"IND","India",17,"Karnataka",219,"Belgaum",767,"Athni","","","Taluk","Taluk"
27342,105,"IND","India",17,"Karnataka",219,"Belgaum",768,"Bail Hongal","","Sampgaon","Taluk","Taluk"
27343,105,"IND","India",17,"Karnataka",219,"Belgaum",769,"Belgaum","","","Taluk","Taluk"
27344,105,"IND","India",17,"Karnataka",219,"Belgaum",770,"Chikodi","","","Taluk","Taluk"
32628,105,"IND","India",1,"Andaman and Nicobar",1,"Andaman Islands",1,"n.a. ( 2178)","","","Taluk","Taluk"
32629,105,"IND","India",1,"Andaman and Nicobar",2,"Nicobar Islands",2,"n.a. ( 2304)","","","Taluk","Taluk"
32630,105,"IND","India",2,"Andhra Pradesh",3,"Adilabad",3,"Adilabad","","","Taluk","Taluk"
32631,105,"IND","India",2,"Andhra Pradesh",3,"Adilabad",4,"Asifabad","","","Taluk","Taluk"
32632,105,"IND","India",2,"Andhra Pradesh",3,"Adilabad",5,"Boath","","","Taluk","Taluk"
32633,105,"IND","India",2,"Andhra Pradesh",3,"Adilabad",6,"Chinnur","","","Taluk","Taluk"
32634,105,"IND","India",2,"Andhra Pradesh",3,"Adilabad",7,"Khanapur","","","Taluk","Taluk"
32635,105,"IND","India",2,"Andhra Pradesh",3,"Adilabad",8,"Laxettipet","","","Taluk","Taluk"
32636,105,"IND","India",2,"Andhra Pradesh",3,"Adilabad",9,"Mudhol","","","Taluk","Taluk"
32637,105,"IND","India",2,"Andhra Pradesh",3,"Adilabad",10,"Nirmal","","","Taluk","Taluk"
32638,105,"IND","India",2,"Andhra Pradesh",3,"Adilabad",11,"Sirpur","","","Taluk","Taluk"
32639,105,"IND","India",2,"Andhra Pradesh",3,"Adilabad",12,"Utnur","","","Taluk","Taluk"
32640,105,"IND","India",2,"Andhra Pradesh",4,"Anantapur",13,"Anantapur","","","Taluk","Taluk"
32641,105,"IND","India",2,"Andhra Pradesh",4,"Anantapur",14,"Dharmavaram","","","Taluk","Taluk"
