"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","NL_NAME_2","VARNAME_2","TYPE_2","ENGTYPE_2"
17249,105,"IND","India",5,"Bihar",77,"Katihar","","Kathihar","District","District"
17250,105,"IND","India",5,"Bihar",78,"Khagaria","","","District","District"
17251,105,"IND","India",5,"Bihar",79,"Kishanganj","","","District","District"
17252,105,"IND","India",5,"Bihar",80,"Lakhisarai","","","District","District"
17253,105,"IND","India",5,"Bihar",81,"Madhepura","","Madhipura","District","District"
17254,105,"IND","India",5,"Bihar",82,"Madhubani","","","District","District"
17255,105,"IND","India",5,"Bihar",83,"Munger","","Monghyr","District","District"
17256,105,"IND","India",5,"Bihar",84,"Muzaffarpur","","Muzafarpur","District","District"
17257,105,"IND","India",5,"Bihar",85,"Nalanda","","","District","District"
17258,105,"IND","India",5,"Bihar",86,"Nawada","","Nawadah","District","District"
17259,105,"IND","India",5,"Bihar",87,"Pashchim Champaran","","West Champaran, Paschimi Champaran, Paschim-Champaram","District","District"
17260,105,"IND","India",5,"Bihar",88,"Patna","","","District","District"
17261,105,"IND","India",5,"Bihar",89,"Purba Champaran","","East Champaran, Purbi Champaran, Purba Champaram","District","District"
17262,105,"IND","India",5,"Bihar",90,"Purnia","","Purnea","District","District"
17263,105,"IND","India",5,"Bihar",91,"Rohtas","","","District","District"
17264,105,"IND","India",5,"Bihar",92,"Saharsa","","","District","District"
17265,105,"IND","India",5,"Bihar",93,"Samastipur","","","District","District"
17266,105,"IND","India",5,"Bihar",94,"Saran","","","District","District"
17267,105,"IND","India",5,"Bihar",95,"Sheikhpura","","","District","District"
17268,105,"IND","India",5,"Bihar",96,"Sheohar","","","District","District"
17269,105,"IND","India",5,"Bihar",97,"Sitamarhi","","","District","District"
17270,105,"IND","India",5,"Bihar",98,"Siwan","","Sivan","District","District"
17271,105,"IND","India",5,"Bihar",99,"Supaul","","","District","District"
17272,105,"IND","India",5,"Bihar",100,"Vaishali","","","District","District"
17273,105,"IND","India",6,"Chandigarh",101,"Chandigarh","","","District","District"
17274,105,"IND","India",7,"Chhattisgarh",102,"Bastar","","Baster","District","District"
17275,105,"IND","India",7,"Chhattisgarh",103,"Bilaspur","","","District","District"
17276,105,"IND","India",7,"Chhattisgarh",104,"Dantewada","","","District","District"
17277,105,"IND","India",7,"Chhattisgarh",105,"Dhamtari","","","District","District"
17278,105,"IND","India",7,"Chhattisgarh",106,"Durg","","","District","District"
17279,105,"IND","India",7,"Chhattisgarh",107,"Janjgir-Champa","","Janjgir","District","District"
17280,105,"IND","India",7,"Chhattisgarh",108,"Jashpur","","","District","District"
17281,105,"IND","India",7,"Chhattisgarh",109,"Kanker","","","District","District"
17282,105,"IND","India",7,"Chhattisgarh",110,"Kawardha","","","District","District"
17283,105,"IND","India",7,"Chhattisgarh",111,"Korba","","","District","District"
17284,105,"IND","India",7,"Chhattisgarh",112,"Koriya","","","District","District"
17285,105,"IND","India",7,"Chhattisgarh",113,"Mahasamund","","","District","District"
17286,105,"IND","India",7,"Chhattisgarh",114,"Raigarh","","","District","District"
17287,105,"IND","India",7,"Chhattisgarh",115,"Raipur","","","District","District"
17288,105,"IND","India",7,"Chhattisgarh",116,"Raj Nandgaon","","","District","District"
17289,105,"IND","India",7,"Chhattisgarh",117,"Surguja","","","District","District"
17290,105,"IND","India",8,"Dadra and Nagar Haveli",118,"Dadra and Nagar Haveli","","","District","District"
17291,105,"IND","India",9,"Daman and Diu",119,"Daman","","","District","District"
17292,105,"IND","India",9,"Daman and Diu",120,"Junagadh","","","District","District"
17293,105,"IND","India",10,"Delhi",121,"Delhi","","","District","District"
17294,105,"IND","India",11,"Goa",122,"North Goa","","","District","District"
17295,105,"IND","India",11,"Goa",123,"South Goa","","","District","District"
17296,105,"IND","India",12,"Gujarat",124,"Ahmadabad","","","District","District"
17297,105,"IND","India",12,"Gujarat",125,"Amreli","","Amereli","District","District"
17298,105,"IND","India",12,"Gujarat",126,"Anand","","","District","District"
17299,105,"IND","India",12,"Gujarat",127,"Banas Kantha","","Banaskantha, Palanpur","District","District"
17300,105,"IND","India",12,"Gujarat",128,"Bharuch","","","District","District"
17301,105,"IND","India",12,"Gujarat",129,"Bhavnagar","","Bhaunagar","District","District"
17302,105,"IND","India",12,"Gujarat",130,"Dahod","","Dohad","District","District"
17303,105,"IND","India",12,"Gujarat",131,"Gandhinagar","","","District","District"
17304,105,"IND","India",12,"Gujarat",132,"Jamnagar","","","District","District"
17305,105,"IND","India",12,"Gujarat",133,"Junagadh","","","District","District"
17306,105,"IND","India",12,"Gujarat",134,"Kachchh","","Kutch","District","District"
17307,105,"IND","India",12,"Gujarat",135,"Kheda","","Kaira","District","District"
17308,105,"IND","India",12,"Gujarat",136,"Mahesana","","Mehasana, Mehsana","District","District"
17309,105,"IND","India",12,"Gujarat",137,"Narmada","","","District","District"
17310,105,"IND","India",12,"Gujarat",138,"Navsari","","","District","District"
17311,105,"IND","India",12,"Gujarat",139,"Panch Mahals","","Godhra, Panchmahal","District","District"
17312,105,"IND","India",12,"Gujarat",140,"Patan","","","District","District"
17313,105,"IND","India",12,"Gujarat",141,"Porbandar","","","District","District"
17314,105,"IND","India",12,"Gujarat",142,"Rajkot","","","District","District"
17315,105,"IND","India",12,"Gujarat",143,"Sabar Kantha","","Sabarkantha, Himatnagar","District","District"
17316,105,"IND","India",12,"Gujarat",144,"Surat","","","District","District"
17317,105,"IND","India",12,"Gujarat",145,"Surendranagar","","","District","District"
17318,105,"IND","India",12,"Gujarat",146,"The Dangs","","Dangs","District","District"
17319,105,"IND","India",12,"Gujarat",147,"Vadodara","","Baroda","District","District"
17320,105,"IND","India",12,"Gujarat",148,"Valsad","","Bulsar|Walsad","District","District"
17321,105,"IND","India",13,"Haryana",149,"Ambala","","","District","District"
17322,105,"IND","India",13,"Haryana",150,"Bhiwani","","","District","District"
17323,105,"IND","India",13,"Haryana",151,"Faridabad","","","District","District"
17324,105,"IND","India",13,"Haryana",152,"Fatehabad","","","District","District"
17325,105,"IND","India",13,"Haryana",153,"Gurgaon","","","District","District"
17326,105,"IND","India",13,"Haryana",154,"Hisar","","","District","District"
17327,105,"IND","India",13,"Haryana",155,"Jhajjar","","","District","District"
17328,105,"IND","India",13,"Haryana",156,"Jind","","","District","District"
17329,105,"IND","India",13,"Haryana",157,"Kaithal","","","District","District"
17330,105,"IND","India",13,"Haryana",158,"Karnal","","","District","District"
17331,105,"IND","India",13,"Haryana",159,"Kurukshetra","","","District","District"
17332,105,"IND","India",13,"Haryana",160,"Mahendragarh","","Mahendergarh, Mahendragarth, Mohindargarh, Mohindergarh","District","District"
17333,105,"IND","India",13,"Haryana",161,"Panchkula","","","District","District"
17334,105,"IND","India",13,"Haryana",162,"Panipat","","","District","District"
17335,105,"IND","India",13,"Haryana",163,"Rewari","","","District","District"
